name,age,answers,cliente_codigo,_chave
Mariana Silva,25,"[""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Somewhat Disagree"", ""Somewhat Disagree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree""]",9488.0,28359f7fc700f9b9904a3b619c84022c
Lara,23,"[""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Somewhat Disagree""]",9260.0,ef9f2365f60ac8e2356e254c8c91488f
Mariana Araújo,23,"[""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Somewhat Disagree""]",12740.0,ca13bee745eaeffb2c494385eeec9a47
Clara Montoro,24,"[""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Disagree"", ""Somewhat Disagree""]",13602.0,33fa79e54690bc45beb83343f7e3c730
Ana Silva,20,"[""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Agree""]",11343.0,a855c5c74458a07ac7301a1a8df5b7ed
Carlos,42,"[""Agree"", ""Agree"", ""Somewhat Disagree"", ""Somewhat Disagree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Agree""]",12537.0,ca13bee745eaeffb2c494385eeec9a47
Carlos Mendes,45,"[""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Disagree""]",5801.0,ef9f2365f60ac8e2356e254c8c91488f
Laura Oliveira,29,"[""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Somewhat Agree""]",3554.0,ef9f2365f60ac8e2356e254c8c91488f
Lucas Silva,23,"[""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Somewhat Agree""]",15662.0,28359f7fc700f9b9904a3b619c84022c
Camila Souza,20,"[""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Disagree""]",6115.0,a855c5c74458a07ac7301a1a8df5b7ed
Carla Peixoto,16,"[""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Somewhat Disagree"", ""Disagree""]",7098.0,a855c5c74458a07ac7301a1a8df5b7ed
Carlos Silva,42,"[""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree""]",10669.0,33fa79e54690bc45beb83343f7e3c730
Lucas Moreira,31,"[""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Somewhat Disagree"", ""Disagree""]",12333.0,33fa79e54690bc45beb83343f7e3c730
Alex Patricio,34,"[""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Disagree""]",4505.0,a855c5c74458a07ac7301a1a8df5b7ed
Luana Garcia,28,"[""Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Disagree""]",13017.0,ca13bee745eaeffb2c494385eeec9a47
Clara,28,"[""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Somewhat Agree""]",13107.0,33fa79e54690bc45beb83343f7e3c730
Carlos Silva,43,"[""Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Somewhat Agree""]",6772.0,ef9f2365f60ac8e2356e254c8c91488f
Luiz,25,"[""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Somewhat Disagree"", ""Disagree""]",18319.0,28359f7fc700f9b9904a3b619c84022c
Marina Silva,26,"[""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree""]",15219.0,28359f7fc700f9b9904a3b619c84022c
Laura Montenegro,33,"[""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Somewhat Disagree""]",3902.0,ca13bee745eaeffb2c494385eeec9a47
Carolina Alves,27,"[""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Disagree"", ""Disagree""]",7901.0,ef9f2365f60ac8e2356e254c8c91488f
Mariana Silva,27,"[""Agree"", ""Agree"", ""Somewhat Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Somewhat Disagree"", ""Disagree""]",7824.0,ef9f2365f60ac8e2356e254c8c91488f
Ana Clara,23,"[""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Disagree"", ""Disagree""]",12546.0,ca13bee745eaeffb2c494385eeec9a47
Carolina Moretti,45,"[""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Disagree"", ""Disagree""]",12282.0,28359f7fc700f9b9904a3b619c84022c
Rafael,28,"[""Agree"", ""Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Somewhat Agree""]",5245.0,ef9f2365f60ac8e2356e254c8c91488f
Clara Monteiro,34,"[""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Somewhat Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Somewhat Agree""]",9660.0,a855c5c74458a07ac7301a1a8df5b7ed
Eduardo Silva,39,"[""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Neither"", ""Somewhat Disagree""]",16048.0,1d40882bc4bd32e41d71d18381755f93
Camila Silva,26,"[""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Disagree"", ""Neither"", ""Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Agree"", ""Somewhat Disagree"", ""Disagree""]",4952.0,ef9f2365f60ac8e2356e254c8c91488f
Carlos Andrade,39,"[""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Agree"", ""Agree"", ""Disagree"", ""Disagree""]",9572.0,33fa79e54690bc45beb83343f7e3c730
Lucas,38,"[""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Neither"", ""Neither"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Agree""]",7321.0,ef9f2365f60ac8e2356e254c8c91488f
Camila Duarte,31,"[""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Somewhat Agree""]",7124.0,ef9f2365f60ac8e2356e254c8c91488f
Gabriel,29,"[""Agree"", ""Agree"", ""Somewhat Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree""]",15556.0,1d40882bc4bd32e41d71d18381755f93
Marina Lima,30,"[""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree""]",9106.0,ef9f2365f60ac8e2356e254c8c91488f
Carlos Machado,72,"[""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree""]",11987.0,33fa79e54690bc45beb83343f7e3c730
Marina Silva,28,"[""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Disagree"", ""Somewhat Disagree""]",735.0,ef9f2365f60ac8e2356e254c8c91488f
Thiago,16,"[""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree""]",12761.0,ca13bee745eaeffb2c494385eeec9a47
Carlos Mendes,54,"[""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Somewhat Agree""]",8856.0,ef9f2365f60ac8e2356e254c8c91488f
Ana Clara,35,"[""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Neither"", ""Neither""]",6426.0,28359f7fc700f9b9904a3b619c84022c
Carlos Andrade,30,"[""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Somewhat Disagree""]",5036.0,ef9f2365f60ac8e2356e254c8c91488f
João Almeida,42,"[""Somewhat Agree"", ""Somewhat Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Somewhat Disagree"", ""Somewhat Disagree""]",7459.0,28359f7fc700f9b9904a3b619c84022c
Clara Silva,32,"[""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Agree"", ""Agree"", ""Somewhat Disagree"", ""Disagree""]",7326.0,ef9f2365f60ac8e2356e254c8c91488f
Carlos Menezes,36,"[""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Disagree"", ""Disagree"", ""Agree"", ""Agree"", ""Somewhat Disagree"", ""Disagree""]",5062.0,ca13bee745eaeffb2c494385eeec9a47
Lucas,38,"[""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree""]",6180.0,ef9f2365f60ac8e2356e254c8c91488f
Laura,31,"[""Somewhat Agree"", ""Somewhat Agree"", ""Disagree"", ""Disagree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Neither""]",5458.0,ef9f2365f60ac8e2356e254c8c91488f
Lucas Ferreira,39,"[""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Somewhat Agree""]",2206.0,28359f7fc700f9b9904a3b619c84022c
Carlos Silveira,30,"[""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Disagree"", ""Disagree""]",17211.0,28359f7fc700f9b9904a3b619c84022c
Camila,27,"[""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Agree"", ""Agree"", ""Disagree"", ""Disagree""]",13485.0,28359f7fc700f9b9904a3b619c84022c
Carlos,29,"[""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Disagree"", ""Disagree""]",17529.0,28359f7fc700f9b9904a3b619c84022c
Maria da Penha,64,"[""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Agree"", ""Disagree"", ""Somewhat Disagree""]",10094.0,a855c5c74458a07ac7301a1a8df5b7ed
Ana Clara,25,"[""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Somewhat Disagree"", ""Disagree""]",5380.0,ef9f2365f60ac8e2356e254c8c91488f
Mariana Silva,25,"[""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Somewhat Disagree"", ""Somewhat Disagree"", ""Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Disagree""]",9488.0,28359f7fc700f9b9904a3b619c84022c
Lara,23,"[""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Somewhat Disagree""]",9260.0,ef9f2365f60ac8e2356e254c8c91488f
Mariana Araújo,23,"[""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Disagree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Somewhat Agree""]",12740.0,ca13bee745eaeffb2c494385eeec9a47
Clara Montoro,24,"[""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Somewhat Agree"", ""Agree"", ""Agree"", ""Somewhat Disagree"", ""Disagree""]",13602.0,33fa79e54690bc45beb83343f7e3c730
Ana Silva,20,"[""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Somewhat Agree""]",11343.0,a855c5c74458a07ac7301a1a8df5b7ed
Carlos,42,"[""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree""]",12537.0,ca13bee745eaeffb2c494385eeec9a47
Carlos Mendes,45,"[""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Somewhat Disagree"", ""Disagree""]",5801.0,ef9f2365f60ac8e2356e254c8c91488f
Laura Oliveira,29,"[""Somewhat Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Disagree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Somewhat Agree""]",3554.0,ef9f2365f60ac8e2356e254c8c91488f
Lucas Silva,23,"[""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Somewhat Agree""]",15662.0,28359f7fc700f9b9904a3b619c84022c
Camila Souza,20,"[""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Disagree"", ""Somewhat Disagree""]",6115.0,a855c5c74458a07ac7301a1a8df5b7ed
Carla Peixoto,16,"[""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Somewhat Agree"", ""Agree"", ""Agree"", ""Neither"", ""Somewhat Disagree""]",7098.0,a855c5c74458a07ac7301a1a8df5b7ed
Carlos Silva,42,"[""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Agree"", ""Somewhat Agree"", ""Agree"", ""Somewhat Agree"", ""Agree"", ""Neither"", ""Somewhat Disagree""]",10669.0,33fa79e54690bc45beb83343f7e3c730
Lucas Moreira,31,"[""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Somewhat Agree"", ""Agree"", ""Agree"", ""Somewhat Disagree"", ""Somewhat Disagree""]",12333.0,33fa79e54690bc45beb83343f7e3c730
Alex Patricio,34,"[""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Somewhat Disagree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Disagree"", ""Disagree""]",4505.0,a855c5c74458a07ac7301a1a8df5b7ed
Luana Garcia,28,"[""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Somewhat Disagree"", ""Somewhat Disagree""]",13017.0,ca13bee745eaeffb2c494385eeec9a47
Clara,28,"[""Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Somewhat Agree""]",13107.0,33fa79e54690bc45beb83343f7e3c730
Carlos Silva,43,"[""Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Somewhat Agree""]",6772.0,ef9f2365f60ac8e2356e254c8c91488f
Luiz,25,"[""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Disagree"", ""Disagree""]",18319.0,28359f7fc700f9b9904a3b619c84022c
Marina Silva,26,"[""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Somewhat Agree""]",15219.0,28359f7fc700f9b9904a3b619c84022c
Laura Montenegro,33,"[""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Disagree"", ""Strongly Agree"", ""Strongly Agree"", ""Neither"", ""Disagree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree""]",3902.0,ca13bee745eaeffb2c494385eeec9a47
Carolina Alves,27,"[""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Disagree"", ""Somewhat Disagree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Somewhat Disagree"", ""Disagree""]",7901.0,ef9f2365f60ac8e2356e254c8c91488f
Mariana Silva,27,"[""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Neither"", ""Somewhat Disagree""]",7824.0,ef9f2365f60ac8e2356e254c8c91488f
Ana Clara,23,"[""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Agree"", ""Agree"", ""Somewhat Disagree"", ""Disagree""]",12546.0,ca13bee745eaeffb2c494385eeec9a47
Carolina Moretti,45,"[""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Disagree"", ""Disagree""]",12282.0,28359f7fc700f9b9904a3b619c84022c
Rafael,28,"[""Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree""]",5245.0,ef9f2365f60ac8e2356e254c8c91488f
Clara Monteiro,34,"[""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree""]",9660.0,a855c5c74458a07ac7301a1a8df5b7ed
Eduardo Silva,39,"[""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Agree"", ""Somewhat Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Disagree"", ""Disagree""]",16048.0,1d40882bc4bd32e41d71d18381755f93
Camila Silva,26,"[""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Neither""]",4952.0,ef9f2365f60ac8e2356e254c8c91488f
Carlos Andrade,39,"[""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Disagree""]",9572.0,33fa79e54690bc45beb83343f7e3c730
Lucas,38,"[""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Somewhat Agree""]",7321.0,ef9f2365f60ac8e2356e254c8c91488f
